name,bio,birth_year,death_year,nationality,art_movement,followers_count,exhibitions_count,category,source_url
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Tania Franco Klein,,,,,chiaroscuro,0,0,,https://www.artsy.net/artist/tania-franco-klein
Bruna Massadas,,,,,,0,0,,https://www.artsy.net/artist/bruna-massadas
Cy Twombly,,,,,,0,0,,https://www.artsy.net/artist/cy-twombly
Helen Frankenthaler,,,,,Abstract Expressionists,0,0,,https://www.artsy.net/artist/helen-frankenthaler
